,category,id,latitude,longitude,name,shortName
1,tram,6350927454370010000,180367133,72043450,Os.Piastów,378
4,tram,6350927454370010000,180064597,71601349,Czerwone Maki P+R,3038
8,tram,6350927454370010000,180048914,71821671,Kurdwanów P+R,3176
9,tram,6350927454370010000,180047695,71736393,Borek Fałęcki,747
13,tram,6350927454370010000,180189697,71695213,Salwator,311
26,tram,6350927454370010000,180107850,71769998,Łagiewniki,922
56,tram,6350927454370010000,180226642,71651287,Cichy Kącik,87
57,tram,6350927454370010000,180279461,71644220,Bronowice,89
60,tram,6350927454370010000,180295027,71577170,Bronowice Małe,135
64,tram,6350927454370010000,180319272,71753242,Krowodrza Górka,63
76,tram,6350927454370010000,180272154,71784192,Dworzec Towarowy,70
91,tram,6350927454370010000,180056187,72082990,Nowy Bieżanów P+R,3175
113,tram,6350927454370010000,180143662,72005402,Mały Płaszów,1263
119,tram,6350927454370010000,180264956,71844258,Cmentarz Rakowicki,124
138,tram,6350927454370010000,180342391,71986739,Mistrzejowice,375
163,tram,6350927454370010000,180322790,72300966,Walcownia,463
166,tram,6350927454370010000,180249368,72243352,Kopiec Wandy,450
169,tram,6350927454370010000,180285303,72236590,Kombinat,459
173,tram,6350927454370010000,180341535,72234935,Wzgórza Krzesławickie,442
